Population,Area,Anti-Social Behaviour,Burglary,Robbery,Vehicle Crimes,Violent Crimes,Shoplifting,Criminal Damage & Arson,Other Theft,Drugs,Other Crimes,Bike Theft,Weapons
95596,"4,488.44",15886,3001,139,2674,7649,2197,4145,3658,1292,651,560,151
175059,"16,117.63",34357,7277,417,5246,15389,5859,11558,5791,3389,887,835,394
140683,"65,696.41",14773,3686,279,3989,8067,3223,4419,5520,1533,1056,650,709
111032,"13,638.25",12657,2825,162,2137,9621,3000,5284,3471,1409,793,450,231
130823,"59,817.26",16263,2518,212,1960,9780,2478,4133,3871,1289,639,765,174
97059,"57,584.71",9859,1406,84,1226,7494,771,3253,2356,617,445,110,112
83999,"2,596.40",13740,2114,294,2051,9277,5059,4736,3534,1814,685,826,884
283053,"12,606.18",53261,15372,1436,12586,22107,8118,14603,9291,1825,1534,1524,399
191244,"20,393.06",63221,6810,511,4345,16414,9101,11673,9025,2191,1030,1542,348
248675,"9,345.02",64504,7391,1351,6950,40472,8991,18437,12072,3360,2242,1294,862
120502,"97,786.63",12982,3575,158,3395,6688,2222,3235,5292,1035,409,520,153
112906,"46,065.47",16828,3318,126,2115,4627,1828,3554,2992,744,478,307,80
124308,"89,156.43",11156,2796,82,2033,6760,1607,3898,3727,828,642,564,122
274991,"13,746.17",62488,8607,491,6886,26070,10891,18923,14077,3788,2472,1601,885
86171,"9,509.28",10767,1805,69,1133,5359,1622,2752,2659,784,481,255,70
190189,"4,385.02",16806,6502,1048,7377,15543,3945,6254,6374,1961,640,635,222
135870,"37,338.55",19560,6169,365,4996,16418,5160,8501,5943,866,1133,670,210
238831,"37,974.42",33794,7439,367,8407,23403,7988,12778,9935,4122,1531,1271,414
208533,"23,010.36",41060,8091,621,6532,22799,8810,11161,8440,2309,1105,2140,505
219197,"10,317.14",54326,12036,1176,9496,25130,6092,13836,9227,2376,1716,1115,602
76867,"3,084.62",10841,1766,210,1793,7768,2259,3652,2638,985,448,424,160
82982,"24,818.98",10719,3243,107,2712,4850,876,4640,3620,725,497,115,101
110169,"46,236.29",17464,2615,178,1915,9772,4422,4261,3504,842,342,916,109
124163,"67,387.00",13376,1922,60,1690,7617,1963,3677,3307,854,461,222,135
165917,"29,031.32",40503,6549,544,4157,21051,6350,8751,6987,1886,1072,672,414
138049,"33,764.12",22780,6182,499,3879,16565,5027,7085,5457,1365,883,764,432
116560,"62,757.99",15101,3629,135,2099,6202,2838,3922,3241,1137,598,455,204
81898,"41,441.83",11947,2614,71,1984,2831,1067,2378,2329,523,315,334,50
134186,"10,333.53",27073,6028,796,4741,22823,5238,10316,7442,1746,1029,1140,341
87467,"8,881.34",8823,2127,98,2091,3956,892,2635,2365,1001,392,247,432
157566,"16,337.60",26947,7093,699,9220,15408,6684,7945,6808,1716,1032,1101,391
120668,"24,013.56",11739,3307,158,2808,9588,2572,5255,4260,1180,572,353,142
130772,"6,287.40",24816,3497,264,2738,16236,3993,6847,5413,2075,704,312,328
90814,"12,564.08",19906,3536,95,2636,7609,3078,5529,3861,1217,681,254,112
